"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","(Intercept)",0.163833422134557,0.0243828694105492,6.71920188620926,2.92367244371604e-11,0.115991330622542,0.211675513646571
"2","tot",1.41719258206065e-05,2.8993248870064e-06,4.88800888928293,1.16959408959637e-06,8.48310535277393e-06,1.9860746288439e-05
"3","comRel",-0.0701483658569819,0.0240193967950826,-2.92048823937756,0.00356601312283087,-0.117277280841719,-0.0230194508722445
"4","resRel",0.0630732034536392,0.0202245824338057,3.11864057812196,0.00186400082668651,0.0233901658546359,0.102756241052642
"5","indRel",-0.230134530501997,0.0371472707963513,-6.19519349789221,8.20774167878578e-10,-0.303021896584174,-0.15724716441982
"6","populationsum",0.000349773207151453,0.000458407883916249,0.763017433651636,0.445616300673023,-0.000549677614771152,0.00124922402907406
"7","factor(KE_IBC)Baldia",0.154992307755335,0.0241635972436437,6.41428948647563,2.09563062081968e-10,0.10758045432968,0.202404161180991
"8","factor(KE_IBC)Bin Qasim",0.212070508003026,0.0260385517073072,8.14448170492956,1.02397073691944e-15,0.160979770787235,0.263161245218817
"9","factor(KE_IBC)Clifton",-0.0974201232351941,0.0234864923126437,-4.14792136426218,3.61297487975186e-05,-0.143503416206102,-0.0513368302642865
"10","factor(KE_IBC)Defence",-0.114175080793382,0.0201751069196175,-5.65920573547805,1.93794197174622e-08,-0.153761041545623,-0.0745891200411413
"11","factor(KE_IBC)F.B Area",-0.0362704756100548,0.023430898425315,-1.54797630682688,0.121915117317687,-0.08224468675797,0.00970373553786046
"12","factor(KE_IBC)Gadap",0.175405096419058,0.0274690862317623,6.38554537049867,2.5126959665618e-10,0.121507480222877,0.229302712615239
"13","factor(KE_IBC)Garden",-0.0630962359602394,0.0238904461780925,-2.6410656163508,0.00838148937099278,-0.109972134488435,-0.0162203374320436
"14","factor(KE_IBC)Gulshan-e-Iqbal",-0.108602630737902,0.0223725209747758,-4.85428668768922,1.38230079838992e-06,-0.152500179373692,-0.0647050821021128
"15","factor(KE_IBC)Johar-I",-0.0605857389992834,0.0234008560064707,-2.58903943439208,0.00975120542401679,-0.106501003346172,-0.0146704746523943
"16","factor(KE_IBC)Johar-II",0.0672650189179453,0.0261750282027795,2.56981648297909,0.0103057774808761,0.0159064985763999,0.118623539259491
"17","factor(KE_IBC)Johar II",0.218017339173835,0.112055798510163,1.94561407863299,0.0519551070734066,-0.0018494729108674,0.437884151258537
"18","factor(KE_IBC)KIMZ",0.0556696976347135,0.0229044524258881,2.43051859959734,0.0152359928596348,0.0107284361883546,0.100610959081072
"19","factor(KE_IBC)Korangi",0.203172751881133,0.0240959143622882,8.43183407885581,1.05415364708894e-16,0.155893700323423,0.250451803438842
"20","factor(KE_IBC)Landhi",0.215278667878126,0.0292688066355367,7.35522532772982,3.71285104670839e-13,0.157849786070681,0.272707549685571
"21","factor(KE_IBC)Liaquatabad",0.0528981522512887,0.0257023104993238,2.05810883238222,0.0398144345956814,0.00246716030056897,0.103329144202008
"22","factor(KE_IBC)Lyari-I",0.0267993353965092,0.0251898889390084,1.0638925586928,0.287610436822424,-0.0226262244711952,0.0762248952642136
"23","factor(KE_IBC)Lyari-II",0.112673221671939,0.0266130025611887,4.23376585986042,2.48955571626386e-05,0.060455343517245,0.164891099826632
"24","factor(KE_IBC)Malir",0.162827845432318,0.0239290611883794,6.80460650547343,1.6598417259154e-11,0.115876179658489,0.209779511206148
"25","factor(KE_IBC)Nazimabad",0.0329899224797299,0.0276582880350999,1.19276805700569,0.233216974860964,-0.0212789301709105,0.0872587751303703
"26","factor(KE_IBC)North Karachi",0.0619237816328924,0.0238288720981935,2.59868706238878,0.00948304314739819,0.0151686987771957,0.108678864488589
"27","factor(KE_IBC)North Nazimabad",-0.0374410112323048,0.0241101875176355,-1.55291248584933,0.12073116840134,-0.084748068419409,0.0098660459547994
"28","factor(KE_IBC)Orangi-I",0.247343313132132,0.0242552962241214,10.1974971093593,2.14161065598124e-23,0.199751535393972,0.294935090870292
"29","factor(KE_IBC)Orangi-II",0.12513817626147,0.0274940989980837,4.55145579675813,5.919204881541e-06,0.0711914820410758,0.179084870481864
"30","factor(KE_IBC)Saddar",-0.026859697950943,0.0213152840370284,-1.26011447486615,0.207894843115156,-0.0686828218964328,0.0149634259945469
"31","factor(KE_IBC)Shah Faisal",0.0548126302941765,0.0237733993950916,2.30562863069105,0.0213163893621151,0.0081663914835975,0.101458869104756
"32","factor(KE_IBC)SITE",0.0138462904668997,0.021671048354571,0.638930348008713,0.523001017312037,-0.028674885408,0.0563674663417994
"33","factor(KE_IBC)Surjani",0.12423158235648,0.0247658895225834,5.01623744397292,6.13804912722261e-07,0.0756379598026366,0.172825204910323
"34","factor(KE_IBC)Tipu Sultan",-0.041121428792088,0.0222978505064821,-1.84418802073024,0.0654240289515476,-0.0848724650827878,0.00262960749861175
